Supplier_ID,Supplier_Name,Sustainability_Score,Cost_Per_Unit,Compliance_Certifications,Country,Risk_Assessment
SUP-001,Asian Packaging Ltd.,63.05,19.5,"FairTrade, ISO 9001",Singapore,High
SUP-002,Sunshine Pharmaceuticals,50.07,8.71,"FairTrade, GMP",China,Medium
SUP-003,Highland Dairy Suppliers,72.27,8.97,"SA8000, HACCP",Vietnam,Low
SUP-004,Sunshine Pharmaceuticals,73.84,20.85,"None, SA8000",Bangladesh,Medium
SUP-005,Eastern Electronics,91.7,7.83,"FairTrade, SA8000",Singapore,High
SUP-006,Lanka Mining Co.,64.78,13.16,SA8000,Bangladesh,Medium
SUP-007,Island Fresh Produce,89.02,5.12,"HACCP, ISO 9001, None",India,Low
SUP-008,Asian Packaging Ltd.,99.26,5.82,SA8000,Sri Lanka,Medium
SUP-009,Sri Lanka Logistics Co.,67.45,10.04,GMP,Vietnam,Low
SUP-010,Ceylon Agro Industries,97.28,12.3,"HACCP, FairTrade",United Arab Emirates,Medium
SUP-011,Colombo Steel Traders,99.75,10.21,"SA8000, FairTrade",Bangladesh,High
SUP-012,Eastern Electronics,76.03,11.15,"GMP, HACCP, FairTrade",Thailand,Medium
SUP-013,Colombo Steel Traders,82.61,14.78,"ISO 9001, FairTrade, None",Indonesia,High
SUP-014,Sapphire IT Solutions,60.54,5.25,"FairTrade, SA8000",Bangladesh,Low
SUP-015,Kelani Chemical Suppliers,91.72,10.24,"SA8000, FairTrade, GMP",Indonesia,Medium
SUP-016,Asian Packaging Ltd.,98.79,16.25,FairTrade,China,Medium
SUP-017,Island Fresh Produce,81.49,23.65,"ISO 9001, None, ISO 14001",China,Low
SUP-018,Eastern Electronics,70.32,8.46,"SA8000, FairTrade, ISO 9001",Vietnam,Low
SUP-019,Oceanic Shipping Lines,85.81,23.77,HACCP,United Arab Emirates,High
SUP-020,Pearl Maritime Services,52.87,18.89,SA8000,Vietnam,Low
SUP-021,Sapphire IT Solutions,53.21,24.75,ISO 9001,Bangladesh,Medium
SUP-022,Ceylon Agro Industries,87.04,18.48,"HACCP, FairTrade, GMP",Thailand,Medium
SUP-023,Sapphire IT Solutions,64.33,24.64,"None, HACCP",Thailand,High
SUP-024,Island Fresh Produce,53.26,18.83,"None, ISO 9001, ISO 14001",Malaysia,Medium
SUP-025,Pearl Maritime Services,62.66,20.73,"GMP, ISO 9001",United Arab Emirates,Medium
SUP-026,Highland Dairy Suppliers,85.64,11.5,"SA8000, ISO 14001, ISO 9001",Thailand,Low
SUP-027,Sri Lanka Logistics Co.,92.94,15.09,"HACCP, FairTrade",Indonesia,Medium
SUP-028,Serendib Construction Materials,97.15,21.1,"None, GMP, SA8000",United Arab Emirates,Low
SUP-029,Serendib Construction Materials,72.87,15.6,"SA8000, ISO 9001",Sri Lanka,Medium
SUP-030,Ceylon Agro Industries,66.59,13.47,SA8000,Malaysia,Low
