Route_ID,Company Name,Origin,Destination,Current_Route_Distance,Optimized_Route_Distance,Current_Emissions,Optimized_Emissions,Estimated_Time_Saved,Estimated_Cost_Savings,Vehicle_Capacity_Utilization
RT-001,DHL Keells,Katunayake,Singapore,1869.34,1814.97,72.03,88.59,0.86,107.94,80.32
RT-002,John Keells Logistics,Koggala,Chennai,3831.98,3461.32,127.89,127.12,6.96,732.87,87.03
RT-003,John Keells Logistics,Koggala,Jakarta,3359.65,3103.15,167.85,113.41,3.87,552.3,88.64
RT-004,Keells Food Products,Colombo,Jakarta,2209.17,2007.34,80.38,77.38,3.12,581.28,89.98
RT-005,Union Assurance,Katunayake,Mumbai,2019.19,1736.36,82.42,62.68,4.68,486.82,91.77
RT-006,Union Assurance,Koggala,Sydney,4769.52,4566.27,148.72,138.31,3.44,438.99,85.62
RT-007,Lanka Marine Services,Galle,Tokyo,3865.47,3453.21,132.79,110.04,6.06,774.93,83.06
RT-008,Keells Supermarkets,Galle,Sydney,2260.24,2082.28,108.85,92.04,2.89,422.58,92.85
RT-009,Keells Food Products,Hambantota,Doha,3043.28,2769.5,107.88,128.36,4.06,714.38,94.03
RT-010,Mackinnons Travels,Katunayake,Sydney,2180.08,2116.71,88.78,91.18,1.24,186.34,81.34
RT-011,Walkers Tours,Trincomalee,Tokyo,616.72,554.95,27.7,26.76,1.23,155.22,92.58
RT-012,John Keells Properties,Colombo,London,4104.92,3805.55,126.77,170.64,4.46,806.65,93.83
RT-013,Lanka Marine Services,Colombo,Chennai,3180.44,2791.61,121.26,134.16,7.11,1125.2,82.85
RT-014,Lanka Marine Services,Galle,Tokyo,4915.62,4568.03,178.45,164.54,6.39,795.61,94.77
RT-015,Lanka Marine Services,Koggala,Doha,656.47,612.0,31.25,24.32,0.88,73.67,85.11
RT-016,Keells Food Products,Trincomalee,Mumbai,3818.01,3552.22,170.27,162.99,4.59,689.92,93.99
RT-017,John Keells Logistics,Katunayake,Mumbai,3546.68,3121.26,139.83,112.83,6.61,1013.52,88.68
RT-018,Mackinnons Travels,Galle,Mumbai,4563.35,4344.21,146.7,166.29,3.37,556.77,89.11
RT-019,Cinnamon Hotels & Resorts,Katunayake,Singapore,3860.73,3573.59,163.86,158.93,5.04,550.73,83.95
RT-020,John Keells Logistics,Colombo,Tokyo,3571.04,3227.04,173.56,145.7,5.18,555.36,89.77
