Date,Category,Subcategory,Company,District,Emissions,Percentage_of_Total
2023-09-17,Manufacturing,Business Process Outsourcing,John Keells IT,Anuradhapura,220.44,11.52
2023-09-10,Transportation,Other Financial Services,Nations Trust Bank,Matale,775.31,18.04
2023-12-21,Warehousing,Destination Management,Whittall Boustead Travel,Badulla,534.7,1.88
2023-09-04,Manufacturing,Rubber Plantations,Keells Plantations,Kalutara,451.01,11.93
2023-09-21,Warehousing,Insurance,Nations Trust Bank,Mullaitivu,933.78,22.48
2023-03-25,Manufacturing,Property Development,John Keells Properties,Kegalle,1177.66,8.7
2023-02-10,Warehousing,Beverages,Ceylon Cold Stores,Matale,1045.76,23.06
2023-04-19,Manufacturing,Beverages,Keells Food Products,Gampaha,429.74,4.72
2023-08-02,Manufacturing,Property Development,John Keells Properties,Kandy,909.43,10.3
2023-11-07,Warehousing,Property Management,John Keells Properties,Nuwara Eliya,177.12,6.33
2023-09-13,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Anuradhapura,860.41,20.83
2023-05-24,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Ampara,156.48,17.88
2023-02-11,Transportation,Ports & Shipping,John Keells Logistics,Anuradhapura,961.75,7.24
2023-07-11,Warehousing,Hotel Ownership,Walkers Tours,Anuradhapura,999.93,10.0
2023-05-06,Manufacturing,Business Process Outsourcing,John Keells IT,Mullaitivu,1193.83,7.95
2023-12-17,Warehousing,Property Management,John Keells Properties,Badulla,352.39,14.38
2023-08-08,Transportation,Software Services,John Keells IT,Ratnapura,470.68,22.15
2023-06-28,Transportation,Rubber Plantations,Keells Plantations,Kurunegala,684.43,14.2
2023-04-15,Warehousing,Other Financial Services,Nations Trust Bank,Mullaitivu,736.4,6.29
2023-04-09,Warehousing,Business Process Outsourcing,Infomate,Mullaitivu,708.99,23.96
2023-04-17,Manufacturing,Property Development,John Keells Properties,Colombo,1017.64,23.72
2023-08-06,Manufacturing,Rubber Plantations,Keells Plantations,Badulla,1182.27,7.93
2023-10-12,Manufacturing,Ports & Shipping,South Asia Gateway Terminals,Jaffna,757.96,11.82
2023-03-11,Manufacturing,Supermarkets,Keells Super,Ampara,922.59,16.79
2023-07-07,Transportation,Other Financial Services,Union Assurance,Polonnaruwa,1167.95,19.36
2023-07-07,Warehousing,Software Services,John Keells IT,Badulla,601.42,2.78
2023-02-20,Warehousing,Convenience Foods,Keells Food Products,Matale,784.31,16.36
2023-03-03,Warehousing,Convenience Foods,Ceylon Cold Stores,Ratnapura,1121.45,9.19
2023-12-18,Manufacturing,Property Management,John Keells Properties,Kurunegala,241.88,15.78
2023-12-06,Manufacturing,Business Process Outsourcing,Infomate,Jaffna,810.06,8.29
2023-05-27,Transportation,Hotel Management,Cinnamon Hotels & Resorts,Nuwara Eliya,558.98,16.0
2023-10-21,Warehousing,Software Services,Infomate,Hambantota,613.75,9.23
2023-10-06,Manufacturing,Property Development,John Keells Properties,Anuradhapura,472.93,2.94
2023-05-23,Transportation,Supermarkets,Keells Super,Kegalle,582.43,24.77
2023-12-04,Transportation,Other Financial Services,Union Assurance,Ampara,754.25,11.84
2023-07-12,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Mannar,657.96,18.08
2023-04-29,Transportation,Supermarkets,Keells Super,Kegalle,262.29,16.38
2023-03-26,Transportation,Destination Management,Whittall Boustead Travel,Mannar,594.96,24.43
2023-06-24,Warehousing,Logistics,South Asia Gateway Terminals,Trincomalee,309.89,24.5
2023-04-26,Manufacturing,Rubber Plantations,Keells Plantations,Kurunegala,1199.35,4.99
2023-03-17,Warehousing,Insurance,Nations Trust Bank,Kurunegala,617.16,9.84
2023-07-04,Warehousing,Supermarkets,Keells Super,Colombo,229.97,11.28
2023-07-05,Manufacturing,Property Management,John Keells Properties,Mannar,354.84,6.85
2023-09-15,Warehousing,Property Development,John Keells Properties,Colombo,903.61,13.0
2023-07-12,Warehousing,Property Development,John Keells Properties,Kurunegala,763.6,14.27
2023-03-25,Manufacturing,Frozen Confectionery,Ceylon Cold Stores,Mullaitivu,1070.25,12.04
2023-10-29,Transportation,Property Management,John Keells Properties,Kilinochchi,934.64,24.33
2023-08-18,Manufacturing,Tea Plantations,Tea Smallholder Factories PLC,Hambantota,441.73,6.84
2023-06-08,Manufacturing,Supermarkets,Keells Super,Galle,746.34,9.33
2023-02-01,Transportation,Rubber Plantations,Tea Smallholder Factories PLC,Colombo,637.74,10.72
2023-04-08,Warehousing,Tea Plantations,Tea Smallholder Factories PLC,Ratnapura,276.09,11.88
2023-09-29,Warehousing,Logistics,John Keells Logistics,Matara,419.3,7.89
2023-01-08,Manufacturing,Ports & Shipping,South Asia Gateway Terminals,Gampaha,827.96,17.52
2023-09-17,Manufacturing,Other Financial Services,Union Assurance,Kalutara,628.42,13.76
2023-03-24,Manufacturing,Software Services,John Keells IT,Mullaitivu,462.94,22.83
2023-05-08,Manufacturing,Tea Plantations,Tea Smallholder Factories PLC,Colombo,534.39,7.29
2023-12-30,Transportation,Insurance,Union Assurance,Mullaitivu,1171.86,21.37
2023-03-11,Manufacturing,Insurance,Nations Trust Bank,Jaffna,1072.93,5.06
2023-07-21,Manufacturing,Property Management,John Keells Properties,Ampara,700.53,20.63
2023-10-26,Manufacturing,Rubber Plantations,Tea Smallholder Factories PLC,Ampara,199.55,24.65
2023-05-23,Manufacturing,Destination Management,Cinnamon Hotels & Resorts,Kegalle,558.37,8.6
