Date,Category,Subcategory,Company,District,Emissions,Percentage_of_Total
2023-07-19,Plantation Services,Tea Plantations,Keells Plantations,Hambantota,953.22,16.94
2023-01-21,Consumer Foods,Convenience Foods,Keells Food Products,Mullaitivu,751.12,19.28
2023-07-26,Financial Services,Insurance,Union Assurance,Gampaha,249.54,5.98
2023-08-13,Consumer Foods,Frozen Confectionery,Keells Food Products,Hambantota,613.95,3.05
2023-12-02,Retail,Supermarkets,Keells Super,Puttalam,400.49,4.58
2023-05-06,Information Technology,Software Services,Infomate,Matara,918.21,10.9
2023-06-06,Plantation Services,Rubber Plantations,Keells Plantations,Polonnaruwa,471.53,9.83
2023-07-03,Financial Services,Insurance,Nations Trust Bank,Anuradhapura,878.3,21.82
2023-08-02,Transportation,Logistics,John Keells Logistics,Kilinochchi,864.1,3.11
2023-11-19,Information Technology,Business Process Outsourcing,John Keells IT,Kilinochchi,1049.8,6.09
2023-09-14,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Polonnaruwa,120.56,14.2
2023-12-14,Property,Property Development,John Keells Properties,Batticaloa,415.71,5.11
2023-10-04,Leisure,Hotel Management,Walkers Tours,Anuradhapura,449.82,24.57
2023-11-29,Consumer Foods,Beverages,Keells Food Products,Polonnaruwa,123.48,11.2
2023-01-08,Consumer Foods,Convenience Foods,Ceylon Cold Stores,Galle,605.09,20.55
2023-09-21,Financial Services,Other Financial Services,Union Assurance,Puttalam,108.55,6.45
2023-09-21,Property,Property Management,John Keells Properties,Kegalle,674.44,17.68
2023-10-02,Transportation,Ports & Shipping,South Asia Gateway Terminals,Nuwara Eliya,683.37,1.31
2023-04-02,Leisure,Destination Management,Walkers Tours,Moneragala,696.1,6.43
2023-02-04,Financial Services,Other Financial Services,Nations Trust Bank,Kegalle,814.91,16.7
2023-05-07,Transportation,Ports & Shipping,John Keells Logistics,Matale,111.99,6.33
2023-04-16,Property,Property Development,John Keells Properties,Puttalam,801.4,4.96
2023-12-04,Transportation,Ports & Shipping,South Asia Gateway Terminals,Puttalam,219.42,15.81
2023-10-19,Property,Property Management,John Keells Properties,Ratnapura,798.82,2.54
2023-12-29,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Ampara,282.55,8.71
2023-01-31,Consumer Foods,Frozen Confectionery,Keells Food Products,Vavuniya,1031.35,5.8
2023-03-18,Financial Services,Insurance,Nations Trust Bank,Nuwara Eliya,617.33,15.31
2023-02-28,Transportation,Logistics,South Asia Gateway Terminals,Matale,285.15,10.7
2023-03-03,Leisure,Destination Management,Cinnamon Hotels & Resorts,Polonnaruwa,1159.46,19.74
2023-06-12,Plantation Services,Tea Plantations,Keells Plantations,Matara,951.07,8.65
2023-03-17,Plantation Services,Tea Plantations,Keells Plantations,Moneragala,779.3,22.03
2023-08-27,Financial Services,Insurance,Union Assurance,Gampaha,765.93,17.09
2023-03-19,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Polonnaruwa,1045.64,8.3
2023-03-09,Plantation Services,Tea Plantations,Keells Plantations,Trincomalee,170.62,1.23
2023-04-17,Retail,Supermarkets,Keells Super,Colombo,168.11,18.87
2023-01-22,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Mullaitivu,827.71,16.07
2023-02-19,Retail,Supermarkets,Keells Super,Ampara,916.67,14.64
2023-04-15,Financial Services,Insurance,Union Assurance,Mullaitivu,385.38,18.82
2023-06-17,Financial Services,Banking,Nations Trust Bank,Colombo,1006.62,22.49
2023-05-13,Financial Services,Other Financial Services,Union Assurance,Kegalle,100.85,10.52
2023-01-17,Retail,Supermarkets,Keells Super,Ratnapura,950.43,2.54
2023-05-11,Information Technology,Business Process Outsourcing,John Keells IT,Kegalle,468.84,5.32
2023-01-23,Transportation,Logistics,South Asia Gateway Terminals,Anuradhapura,647.93,18.39
2023-01-30,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Jaffna,1137.5,13.35
2023-12-30,Transportation,Logistics,South Asia Gateway Terminals,Colombo,442.5,18.36
2023-08-15,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Galle,566.56,5.41
2023-12-13,Consumer Foods,Convenience Foods,Ceylon Cold Stores,Mannar,1160.24,7.21
2023-12-17,Financial Services,Insurance,Nations Trust Bank,Kandy,1121.35,8.64
2023-04-26,Transportation,Logistics,South Asia Gateway Terminals,Mullaitivu,812.85,3.44
2023-05-11,Property,Property Management,John Keells Properties,Hambantota,963.25,20.53
2023-03-17,Information Technology,Business Process Outsourcing,Infomate,Mannar,217.77,5.7
